Nome do Filme,Nota
Um Sonho de Liberdade,9.3
O Poderoso Chefão,9.2
Ghoomer,9.0
Batman: O Cavaleiro das Trevas,9.0
Pulp Fiction - Tempo de Violência,8.9
Homem-Aranha: Através do Aranhaverso,8.8
A Origem,8.8
Interestelar,8.7
Oppenheimer,8.6
Gladiador,8.5
Oldboy,8.4
Top Gun: Maverick,8.3
Fogo Contra Fogo,8.3
Vidas Passadas,8.2
OMG 2,8.2
O Lobo de Wall Street,8.2
Conta Comigo,8.1
Guardiões da Galáxia Vol. 3,8.0
Missão: Impossível - Acerto de Contas Parte Um,8.0
Duna,8.0
Som da Liberdade,7.8
John Wick 4: Baba Yaga,7.8
Batman,7.8
Tudo em Todo o Lugar ao Mesmo Tempo,7.8
A Baleia,7.7
Jailer,7.6
Avatar: O Caminho da Água,7.6
Era Uma Vez Em... Hollywood,7.6
Harry Potter e a Pedra Filosofal,7.6
As Tartarugas Ninja: Caos Mutante,7.5
O Pior Vizinho do Mundo,7.5
O Pacto,7.5
Gran Turismo - De Jogador a Corredor,7.4
Fale Comigo,7.4
O Massacre da Serra Elétrica,7.4
Barbie,7.3
Dungeons & Dragons: Honra Entre Rebeldes,7.3
Trem-Bala,7.3
A Pequena Sereia,7.2
"Vermelho, Branco e Sangue Azul",7.1
Super Mario Bros. - O Filme,7.1
Rastro de Maldade,7.1
Babilônia,7.1
Midsommar: O Mal Não Espera a Noite,7.1
Elementos,7.0
Bottoms,7.0
O Protetor: Capítulo Final,6.9
The Flash,6.8
The Hill,6.8
Indiana Jones e a Relíquia do Destino,6.8
Os Três Mosqueteiros: D'Artagnan,6.8
Besouro Azul,6.7
Asteroid City,6.7
Clonaram Tyrone!,6.7
X: A Marca da Morte,6.6
Sede Assassina,6.6
Loucas em Apuros,6.5
Que Horas Eu Te Pego?,6.4
Ruim Pra Cachorro,6.4
Drácula: A Última Viagem do Deméter,6.4
M3gan,6.4
Puppy Love,6.3
Golda - A Mulher de Uma Nação,6.3
Paraíso,6.3
Mansão Mal-Assombrada,6.2
Minha Culpa,6.2
O Exorcista do Papa,6.1
Transformers: O Despertar das Feras,6.1
Gadar 2,6.1
Batem à Porta,6.1
Love,6.1
Você Não Tá Convidada pro Meu Bat Mitzvá! 2023,6.0
Cassandro,6.0
Felicidade para Principiantes,6.0
Missão de Sobrevivência,6.0
Toc Toc Toc: Ecos do Além,5.9
O Urso do Pó Branco,5.9
O Rei Macaco,5.8
Velozes e Furiosos 10,5.8
Agente Stone,5.7
Megatubarão,5.6
Sobrenatural: A Porta Vermelha,5.6
River Wild,5.5
A Chamada,5.5
Inside Man,5.5
T.I.M.,5.4
Amigos De Férias 2,5.3
Megatubarão 2,5.2
Assombração da Rainha Mary,4.3
Homem-aranha: Lotus,3.5
Rebel Moon - Parte 1: A Menina do Fogo,
Reptile,
A Noite das Bruxas,
Branca de Neve e os Sete Anões,
Os Mercenários 4,
Assassinos da Lua das Flores,
Maestro,
Foe,
Duna: Parte Dois,
Resistência,
